"company_code","request_number","request_user_id","work_type_kbn","scheduled_work_day","work_time_kbn","dayoff_exchanged","dayoff_time_kbn","dayoff_reason_kbn","remark","registration_user","registration_datetime","update_user","update_datetime"
"000001","20240805000414831000001051","051","023","20240714","010","20240802","010","002",本番作業のため,"051","2024-08-05 00:04:12","051","2024-08-05 00:04:12"
"000001","20240904105627426000001251","251","023","20240824","010","20240829","010","099",富士山にいきました。,"251","2024-09-04 10:56:27","251","2024-09-04 10:56:27"
"000001","20240929095806563000001053","053","023","20240921","010","20240930","010","003","","053","2024-09-29 09:58:06","053","2024-09-29 09:58:06"
"000001","20240929095829775000001053","053","023","20240922","010","20241001","010","003","","053","2024-09-29 09:58:29","053","2024-09-29 09:58:29"
"000001","20241003181815786000001051","051","023","20240803","010","20241105","010","002","","051","2024-10-03 18:18:17","051","2024-10-03 18:18:17"
"000001","20241008144718937000001176","176","023","20241005","010","20241010","010","002","","176","2024-10-08 14:47:19","176","2024-10-08 14:47:19"
"000001","20241016141437606000001176","176","023","20241026","010","20241031","010","002","","176","2024-10-16 14:14:37","176","2024-10-16 14:14:37"
"000001","20241029190101944000001053","053","023","20241012","010","20241022","010","002","","053","2024-10-29 19:01:02","053","2024-10-29 19:01:02"
"000001","20241029190132470000001053","053","023","20241013","010","20241024","010","002","","053","2024-10-29 19:01:32","053","2024-10-29 19:01:32"
"000001","20241101093017750000001234","234","023","20241005","010","20241029","010","002","","234","2024-11-01 09:30:20","234","2024-11-01 09:30:20"
"000001","20241126053728611000001053","053","023","20241102","010","20241111","010","003","","053","2024-11-26 05:37:28","053","2024-11-26 05:37:28"
"000001","20241126053831763000001053","053","023","20241103","010","20241112","010","003","","053","2024-11-26 05:38:31","053","2024-11-26 05:38:31"
"000001","29231012181656584000001222","222","023","20231007","010","20240213","010","001","",SysAdmin_ChoYo,"2024-02-14 17:12:40",SysAdmin_ChoYo,"2024-02-14 17:12:40"
